comment_text,content_id,형태소,형태소기반_감정,맥락기반_감정
근데 솔직히 납품업체입장에선 저게당연한게맞음.비겁한게아니라 당신들같으면 하향할것같은 주식에 투자를하겠음?결국 자기돈아니니까 비겁하다고 표현하는게 올바르지 못하다고 말하고싶음.,58,"['납품업체', '입장', '저것', '당연', '아니', '당신', '하향', '주식', '투자', '자기', '아니', '표현', '올바르', '못하']",중립,중립
일일필요량 딱 100에 맞췄던데 보통은 몇천 몇백프로도 많던데요😊,58,"['일일', '필요량', '맞추', '보통', '프로']",중립,중립
일양은 다이소입점하고싶다고 들어올거같다,58,"['일양', '다이소', '입점', '들어오']",중립,중립
아 진짜 이젠 전문의약품(처방 필요함) 만 약국에서 팔겠네,58,"['이제', '전문', '의약품', '처방', '필요', '약국']",중립,중립
동국제약 마데카 리포좀 레티놀 좋음 ㅎㅎㅎㅎ 몬가 기분탓인거같긴한데 피부 밝아지는 너낌,58,"['동국', '제약', '마데카', '리포좀', '레티놀', '기분', '피부']",중립,중립
약사들..,58,['약사'],중립,중립
약사화교,58,"['약사', '화교']",중립,중립
처방은 의사가 하고 약은 제약회사가 만들고 약사들은 처방전보고 포장만 해서 주면되는 할짓없는 럭키편돌이 그자첸데 진작 이랬어야지,58,"['처방', '의사', '제약', '회사', '만들', '약사', '처방전', '포장', '럭키', '자체', '이렇']",중립,중립
여태껏 약사들 얼마나 해쳐먹은거냐,58,"['약사', '해치']",중립,중립
약싸개,58,['약싸개'],중립,중립
당뇨는 뭘 먹으려 하지말고 안먹으려 노력해야됩니다 먹어서 생기는병 그게 당뇨입니다,59,"['당뇨', '노력', '생기', '그것', '당뇨']",중립,중립
역시 결론은 건강한 식단과 운동이 기본이네요. 여기에 충분한 수면 까지 해주면 더욱더 좋을듯 합니다.,59,"['결론', '건강', '식단', '운동', '기본', '여기', '수면']",중립,중립
배우고 갑니다,59,['배우'],중립,중립
